Source,Target,Weight
airplane,slapped in the face,29
airplane,slow motion scene,55
airplane,snow,44
airplane,soldier,41
airplane,song,32
airplane,stabbed to death,15
airplane,stabbing,16
airplane,strangulation,29
airplane,subjective camera,40
airplane,suicide,22
airplane,supernatural power,11
airplane,surprise ending,56
airplane,surrealism,20
airplane,survival,28
airplane,suspense,37
airplane,tattoo,26
airplane,taxi,40
airplane,teenage boy,23
airplane,teenage girl,17
airplane,telephone call,65
airplane,theft,18
airplane,title spoken by character,48
airplane,torture,33
airplane,train,41
airplane,two word title,23
airplane,underwater scene,38
airplane,undressing,21
airplane,violence,74
airplane,voice over narration,39
airplane,vomiting,25
airplane,watching tv,34
airplane,woods,22
airplane,written by director,18
airplane,young,10
ambush,anger,35
ambush,apology,11
ambush,arrest,31
ambush,attempted murder,62
ambush,bar,27
ambush,bare chested male,31
ambush,based on novel,32
ambush,based on true story,18
ambush,beach,20
ambush,beating,57
ambush,betrayal,84
ambush,blood,98
ambush,blood splatter,76
ambush,boat,29
ambush,boy,10
ambush,boyfriend girlfriend relationship,23
ambush,brother brother relationship,14
ambush,brother sister relationship,19
ambush,brutality,69
ambush,camera,13
ambush,car,28
ambush,car accident,37
ambush,car crash,37
ambush,cat,10
ambush,cell phone,45
ambush,cemetery,14
ambush,character name in title,21
ambush,chase,84
ambush,church,20
ambush,cigarette smoking,49
ambush,corpse,78
ambush,criminal,26
ambush,crying,16
ambush,cult film,44
ambush,dancer,10
ambush,dancing,21
ambush,dark comedy,19
ambush,dead body,31
ambush,death,98
ambush,death of father,21
ambush,deception,87
ambush,doctor,24
ambush,dog,46
ambush,drink,5
ambush,drinking,8
ambush,drunkenness,22
ambush,elevator,26
ambush,england,28
ambush,escape,97
ambush,europe,17
ambush,explosion,94
ambush,extramarital affair,11
ambush,f rated,14
ambush,f word,44
ambush,falling from height,48
ambush,family relationships,14
ambush,father daughter relationship,40
ambush,father son relationship,36
ambush,fear,69
ambush,female frontal nudity,19
ambush,female full frontal nudity,20
ambush,female nudity,42
ambush,female protagonist,25
ambush,female rear nudity,30
ambush,female topless nudity,23
ambush,fight,71
ambush,fire,71
ambush,fistfight,61
ambush,flashback,71
ambush,flashlight,26
ambush,food,12
ambush,foot chase,49
ambush,forest,38
ambush,france,14
ambush,friend,10
ambush,friendship,35
ambush,funeral,15
ambush,girl,9
ambush,gore,40
ambush,gun,52
ambush,hallucination,15
ambush,held at gunpoint,82
ambush,helicopter,35
ambush,horse,27
ambush,hospital,28
ambush,hostage,74
ambush,hotel,25
ambush,husband wife relationship,38
ambush,independent film,64
ambush,infidelity,10
ambush,investigation,26
ambush,jealousy,13
ambush,kidnapping,63
ambush,kiss,43
ambush,knife,77
ambush,knocked unconscious,53
ambush,letter,14
ambush,lie,9
ambush,london england,31
ambush,looking at oneself in a mirror,19
ambush,love,24
ambush,machine gun,78
ambush,male female relationship,12
ambush,male frontal nudity,10
ambush,male nudity,23
ambush,male protagonist,18
ambush,male pubic hair,10
ambush,male rear nudity,19
ambush,man wears eyeglasses,19
ambush,marriage,12
ambush,memory,6
ambush,mirror,13
ambush,money,29
ambush,montage,46
ambush,mother daughter relationship,21
ambush,mother son relationship,24
ambush,motorcycle,30
ambush,murder,118
ambush,nightclub,17
ambush,nightmare,17
ambush,no opening credits,42
ambush,nudity,20
ambush,nurse,13
ambush,old man,9
ambush,one word title,45
ambush,paranoia,56
ambush,paris france,12
ambush,party,16
ambush,photograph,48
ambush,photographer,6
ambush,pistol,85
ambush,police,43
ambush,police officer,43
ambush,pregnancy,12
ambush,priest,13
ambush,prison,18
ambush,prologue,35
ambush,prostitute,17
ambush,psychopath,20
ambush,psychotronic film,48
ambush,pubic hair,14
ambush,punched in the face,60
ambush,race against time,64
ambush,rain,21
ambush,rape,18
ambush,rescue,91
ambush,restaurant,24
ambush,revenge,75
ambush,rifle,43
ambush,secret,9
ambush,sequel,24
ambush,sex,14
ambush,sex scene,20
ambush,shooting,14
ambush,shootout,76
ambush,shot in the back,60
ambush,shot in the chest,79
ambush,shot in the head,68
ambush,shot to death,86
ambush,shotgun,45
ambush,shower,15
ambush,singer,15
ambush,singing,19
ambush,slapped in the face,18
ambush,slow motion scene,66
ambush,snow,29
ambush,soldier,47
ambush,song,9
ambush,stabbed to death,34
ambush,stabbing,21
ambush,strangulation,35
ambush,subjective camera,34
ambush,suicide,29
ambush,supernatural power,16
ambush,surprise ending,85
ambush,surrealism,17
ambush,survival,44
ambush,suspense,58
ambush,tattoo,30
ambush,taxi,16
ambush,teenage boy,11
ambush,teenage girl,14
ambush,telephone call,18
ambush,theft,14
ambush,title spoken by character,51
ambush,torture,50
ambush,train,30
ambush,two word title,20
ambush,underwater scene,34
ambush,undressing,9
ambush,violence,110
ambush,voice over narration,24
ambush,vomiting,22
ambush,watching tv,23
ambush,woods,33
ambush,written by director,21
ambush,young,11
anger,apology,24
anger,arrest,21
anger,attempted murder,28
anger,bar,28
anger,bare chested male,28
anger,based on novel,42
anger,based on true story,10
anger,beach,19
anger,beating,53
anger,betrayal,49
anger,blood,76
anger,blood splatter,46
anger,boat,16
anger,boy,32
anger,boyfriend girlfriend relationship,36
anger,brother brother relationship,26
anger,brother sister relationship,22
anger,brutality,49
anger,camera,22
anger,car,31
anger,car accident,35
anger,car crash,29
anger,cat,13
anger,cell phone,36
anger,cemetery,18
anger,character name in title,16
anger,chase,54
anger,church,28
anger,cigarette smoking,60
anger,corpse,60
anger,criminal,28
anger,crying,37
anger,cult film,44
anger,dancer,16
anger,dancing,36
anger,dark comedy,20
anger,dead body,24
anger,death,85
anger,death of father,17
anger,deception,42
anger,doctor,28
anger,dog,42
anger,drink,29
anger,drinking,36
anger,drunkenness,34
anger,elevator,23
anger,england,23
anger,escape,44
anger,europe,12
anger,explosion,50
anger,extramarital affair,21
anger,f rated,16
anger,f word,34
anger,falling from height,25
anger,family relationships,23
anger,father daughter relationship,44
anger,father son relationship,46
anger,fear,60
anger,female frontal nudity,26
anger,female full frontal nudity,27
anger,female nudity,55
anger,female protagonist,23
anger,female rear nudity,37
anger,female topless nudity,28
anger,fight,51
anger,fire,52
anger,fistfight,27
anger,flashback,61
anger,flashlight,29
anger,food,19
anger,foot chase,23
anger,forest,27
anger,france,11
anger,friend,33
anger,friendship,57
anger,funeral,23
anger,girl,23
anger,gore,36
anger,gun,45
anger,hallucination,25
anger,held at gunpoint,40
anger,helicopter,18
anger,horse,20
anger,hospital,38
anger,hostage,32
anger,hotel,28
anger,husband wife relationship,64
anger,independent film,50
anger,infidelity,19
anger,investigation,32
anger,jealousy,34
anger,kidnapping,40
anger,kiss,52
anger,knife,45
anger,knocked unconscious,24
anger,letter,24
anger,lie,26
anger,london england,39
anger,looking at oneself in a mirror,29
anger,love,32
anger,machine gun,27
anger,male female relationship,22
anger,male frontal nudity,13
anger,male nudity,34
anger,male protagonist,17
anger,male pubic hair,18
anger,male rear nudity,21
anger,man wears eyeglasses,25
anger,marriage,22
anger,memory,22
anger,mirror,27
anger,money,41
anger,montage,38
anger,mother daughter relationship,27
anger,mother son relationship,49
anger,motorcycle,23
anger,murder,87
anger,nightclub,15
anger,nightmare,16
anger,no opening credits,21
anger,nudity,33
anger,nurse,15
anger,old man,27
anger,one word title,31
anger,paranoia,39
anger,paris france,9
anger,party,28
anger,photograph,46
anger,photographer,9
anger,pistol,43
anger,police,47
anger,police officer,43
anger,pregnancy,24
anger,priest,17
anger,prison,17
anger,prologue,23
anger,prostitute,20
anger,psychopath,28
anger,psychotronic film,42
anger,pubic hair,19
anger,punched in the face,42
anger,race against time,31
anger,rain,36
anger,rape,18
anger,rescue,41
anger,restaurant,32
anger,revenge,57
anger,rifle,30
anger,secret,18
anger,sequel,13
anger,sex,33
anger,sex scene,43
anger,shooting,27
anger,shootout,34
anger,shot in the back,25
anger,shot in the chest,39
anger,shot in the head,32
anger,shot to death,47
anger,shotgun,29
anger,shower,16
anger,singer,25
anger,singing,25
anger,slapped in the face,32
anger,slow motion scene,51
anger,snow,17
anger,soldier,21
anger,song,17
anger,stabbed to death,28
anger,stabbing,29
anger,strangulation,29
anger,subjective camera,37
anger,suicide,26
anger,supernatural power,10
anger,surprise ending,54
anger,surrealism,22
anger,survival,21
anger,suspense,36
anger,tattoo,24
anger,taxi,19
anger,teenage boy,19
anger,teenage girl,21
anger,telephone call,50
anger,theft,25
anger,title spoken by character,40
anger,torture,33
anger,train,25
anger,two word title,25
anger,underwater scene,19
anger,undressing,19
anger,violence,71
anger,voice over narration,29
anger,vomiting,26
anger,watching tv,38
anger,woods,27
anger,written by director,20
anger,young,7
apology,arrest,27
apology,attempted murder,20
apology,bar,38
apology,bare chested male,38
apology,based on novel,43
apology,based on true story,17
apology,beach,39
apology,beating,41
apology,betrayal,22
apology,blood,80
apology,blood splatter,21
apology,boat,23
apology,boy,46
apology,boyfriend girlfriend relationship,43
apology,brother brother relationship,33
apology,brother sister relationship,40
apology,brutality,24
apology,camera,37
apology,car,11
apology,car accident,34
apology,car crash,18
apology,cat,22
apology,cell phone,45
apology,cemetery,25
apology,character name in title,25
apology,chase,42
apology,church,28
apology,cigarette smoking,76
apology,corpse,39
apology,criminal,31
apology,crying,74
apology,cult film,25
apology,dancer,38
apology,dancing,56
apology,dark comedy,27
apology,dead body,50
apology,death,97
apology,death of father,28
apology,deception,32
apology,doctor,54
apology,dog,74
apology,drink,39
apology,drinking,44
apology,drunkenness,42
apology,elevator,32
apology,england,19
apology,escape,43
apology,europe,12
apology,explosion,32
apology,extramarital affair,24
apology,f rated,39
apology,f word,43
apology,falling from height,20
apology,family relationships,60
apology,father daughter relationship,55
apology,father son relationship,60
apology,fear,62
apology,female frontal nudity,27
apology,female full frontal nudity,32
apology,female nudity,68
apology,female protagonist,48
apology,female rear nudity,34
apology,female topless nudity,34
apology,fight,49
apology,fire,36
apology,fistfight,12
apology,flashback,80
apology,flashlight,34
apology,food,47
apology,foot chase,13
apology,forest,35
apology,france,13
apology,friend,58
apology,friendship,60
apology,funeral,26
apology,girl,27
apology,gore,30
apology,gun,40
apology,hallucination,27
apology,held at gunpoint,14
apology,helicopter,10
apology,horse,34
apology,hospital,43
apology,hostage,18
apology,hotel,37
apology,husband wife relationship,87
apology,independent film,36
apology,infidelity,24
apology,investigation,30
apology,jealousy,40
apology,kidnapping,35
apology,kiss,84
apology,knife,50
apology,knocked unconscious,17
apology,letter,41
apology,lie,58
apology,london england,29
apology,looking at oneself in a mirror,68
apology,love,42
apology,machine gun,15
apology,male female relationship,23
apology,male frontal nudity,16
apology,male nudity,46
apology,male protagonist,13
apology,male pubic hair,15
apology,male rear nudity,16
apology,man wears eyeglasses,45
apology,marriage,41
apology,memory,35
apology,mirror,46
apology,money,39
apology,montage,40
apology,mother daughter relationship,51
apology,mother son relationship,68
apology,motorcycle,15
apology,murder,79
apology,nightclub,12
apology,nightmare,30
apology,no opening credits,17
apology,nudity,51
apology,nurse,20
apology,old man,43
apology,one word title,35
apology,paranoia,34
apology,paris france,10
apology,party,41
apology,photograph,91
apology,photographer,40
apology,pistol,31
apology,police,35
apology,police officer,33
apology,pregnancy,31
apology,priest,20
apology,prison,13
apology,prologue,49
apology,prostitute,14
apology,psychopath,26
apology,psychotronic film,35
apology,pubic hair,24
apology,punched in the face,46
apology,race against time,10
apology,rain,52
apology,rape,19
apology,rescue,22
apology,restaurant,48
apology,revenge,29
apology,rifle,31
apology,secret,30
apology,sequel,3
apology,sex,32
apology,sex scene,39
apology,shooting,35
apology,shootout,15
apology,shot in the back,19
apology,shot in the chest,20
apology,shot in the head,16
apology,shot to death,36
apology,shotgun,17
apology,shower,13
apology,singer,50
apology,singing,54
apology,slapped in the face,39
apology,slow motion scene,53
apology,snow,33
apology,soldier,16
apology,song,36
apology,stabbed to death,22
apology,stabbing,36
apology,strangulation,21
apology,subjective camera,45
apology,suicide,31
apology,supernatural power,13
apology,surprise ending,29
apology,surrealism,26
apology,survival,20
apology,suspense,22
apology,tattoo,17
apology,taxi,30
apology,teenage boy,23
apology,teenage girl,27
apology,telephone call,84
apology,theft,21
apology,title spoken by character,48
apology,torture,29
apology,train,37
apology,two word title,26
apology,underwater scene,21
apology,undressing,41
apology,violence,75
apology,voice over narration,56
apology,vomiting,40
apology,watching tv,52
apology,woods,25
apology,written by director,31
apology,young,11
arrest,attempted murder,26
arrest,bar,41
arrest,bare chested male,34
arrest,based on novel,33
arrest,based on true story,31
arrest,beach,30
arrest,beating,58
arrest,betrayal,56
arrest,blood,78
arrest,blood splatter,29
arrest,boat,19
arrest,boy,34
arrest,boyfriend girlfriend relationship,44
arrest,brother brother relationship,16
arrest,brother sister relationship,32
arrest,brutality,33
arrest,camera,28
arrest,car,27
arrest,car accident,32
arrest,car crash,25
arrest,cat,15
arrest,cell phone,45
arrest,cemetery,22
arrest,character name in title,20
arrest,chase,52
arrest,church,30
arrest,cigarette smoking,76
arrest,corpse,51
arrest,criminal,36
arrest,crying,46
arrest,cult film,34
arrest,dancer,35
arrest,dancing,44
arrest,dark comedy,29
arrest,dead body,39
arrest,death,86
arrest,death of father,22
arrest,deception,52
arrest,doctor,42
arrest,dog,55
arrest,drink,21
arrest,drinking,31
arrest,drunkenness,49
arrest,elevator,26
arrest,england,32
arrest,escape,59
arrest,europe,22
arrest,explosion,51
arrest,extramarital affair,25
arrest,f rated,20
arrest,f word,38
arrest,falling from height,24
arrest,family relationships,40
arrest,father daughter relationship,53
arrest,father son relationship,52
arrest,fear,43
arrest,female frontal nudity,30
arrest,female full frontal nudity,26
arrest,female nudity,57
arrest,female protagonist,22
arrest,female rear nudity,32
arrest,female topless nudity,37
arrest,fight,53
arrest,fire,32
arrest,fistfight,25
arrest,flashback,70
arrest,flashlight,26
arrest,food,25
arrest,foot chase,32
arrest,forest,15
arrest,france,17
arrest,friend,35
arrest,friendship,47
arrest,funeral,24
arrest,girl,21
arrest,gore,24
arrest,gun,56
arrest,hallucination,19
arrest,held at gunpoint,45
arrest,helicopter,23
arrest,horse,25
arrest,hospital,45
arrest,hostage,39
arrest,hotel,37
arrest,husband wife relationship,78
arrest,independent film,38
arrest,infidelity,20
arrest,investigation,39
arrest,jealousy,28
arrest,kidnapping,43
arrest,kiss,59
arrest,knife,40
arrest,knocked unconscious,32
arrest,letter,29
arrest,lie,29
arrest,london england,37
arrest,looking at oneself in a mirror,35
arrest,love,31
arrest,machine gun,36
arrest,male female relationship,25
arrest,male frontal nudity,13
arrest,male nudity,43
arrest,male protagonist,10
arrest,male pubic hair,19
arrest,male rear nudity,28
arrest,man wears eyeglasses,27
arrest,marriage,33
arrest,memory,15
arrest,mirror,31
arrest,money,46
arrest,montage,32
arrest,mother daughter relationship,44
arrest,mother son relationship,50
arrest,motorcycle,36
arrest,murder,106
arrest,nightclub,27
arrest,nightmare,16
arrest,no opening credits,28
arrest,nudity,38
arrest,nurse,22
arrest,old man,24
arrest,one word title,33
arrest,paranoia,32
arrest,paris france,21
arrest,party,29
arrest,photograph,66
arrest,photographer,30
arrest,pistol,58
arrest,police,80
arrest,police officer,59
arrest,pregnancy,22
arrest,priest,26
arrest,prison,40
arrest,prologue,26
arrest,prostitute,34
arrest,psychopath,24
arrest,psychotronic film,28
arrest,pubic hair,20
arrest,punched in the face,52
arrest,race against time,35
arrest,rain,38
arrest,rape,17
arrest,rescue,38
arrest,restaurant,37
arrest,revenge,58
arrest,rifle,39
arrest,secret,19
arrest,sequel,20
arrest,sex,37
arrest,sex scene,37
arrest,shooting,36
arrest,shootout,38
arrest,shot in the back,39
arrest,shot in the chest,42
arrest,shot in the head,36
arrest,shot to death,59
arrest,shotgun,33
arrest,shower,25
arrest,singer,33
arrest,singing,42
arrest,slapped in the face,39
arrest,slow motion scene,45
arrest,snow,29
arrest,soldier,26
arrest,song,28
arrest,stabbed to death,17
arrest,stabbing,20
arrest,strangulation,19
arrest,subjective camera,31
arrest,suicide,30
arrest,supernatural power,8
arrest,surprise ending,51
arrest,surrealism,16
arrest,survival,17
arrest,suspense,21
arrest,tattoo,30
arrest,taxi,31
arrest,teenage boy,22
arrest,teenage girl,23
arrest,telephone call,60
arrest,theft,35
arrest,title spoken by character,51
arrest,torture,38
arrest,train,40
arrest,two word title,14
arrest,underwater scene,23
arrest,undressing,23
arrest,violence,77
arrest,voice over narration,27
arrest,vomiting,29
arrest,watching tv,35
arrest,woods,18
arrest,written by director,23
arrest,young,9
attempted murder,bar,26
attempted murder,bare chested male,40
attempted murder,based on novel,29
attempted murder,based on true story,3
attempted murder,beach,15
attempted murder,beating,54
attempted murder,betrayal,63
attempted murder,blood,87
attempted murder,blood splatter,60
attempted murder,boat,23
attempted murder,boy,18
attempted murder,boyfriend girlfriend relationship,26
attempted murder,brother brother relationship,15
attempted murder,brother sister relationship,21
attempted murder,brutality,55
attempted murder,camera,18
attempted murder,car,21
attempted murder,car accident,36
attempted murder,car crash,33
attempted murder,cat,11
attempted murder,cell phone,42
attempted murder,cemetery,20
attempted murder,character name in title,15
attempted murder,chase,74
attempted murder,church,19
attempted murder,cigarette smoking,50
attempted murder,corpse,64
attempted murder,criminal,23
attempted murder,crying,21
attempted murder,cult film,28
attempted murder,dancer,6
attempted murder,dancing,15
attempted murder,dark comedy,25
attempted murder,dead body,27
attempted murder,death,89
attempted murder,death of father,20
attempted murder,deception,81
attempted murder,doctor,26
attempted murder,dog,30
attempted murder,drink,3
attempted murder,drinking,10
attempted murder,drunkenness,23
attempted murder,elevator,25
attempted murder,england,16
attempted murder,escape,76
attempted murder,europe,17
attempted murder,explosion,71
attempted murder,extramarital affair,16
attempted murder,f rated,15
attempted murder,f word,39
attempted murder,falling from height,36
attempted murder,family relationships,17
attempted murder,father daughter relationship,40
attempted murder,father son relationship,37
attempted murder,fear,63
attempted murder,female frontal nudity,17
attempted murder,female full frontal nudity,18
attempted murder,female nudity,36
attempted murder,female protagonist,24
attempted murder,female rear nudity,20
attempted murder,female topless nudity,19
attempted murder,fight,62
attempted murder,fire,46
attempted murder,fistfight,53
attempted murder,flashback,64
attempted murder,flashlight,25
