num_movies,avg_rating,rating_std,rating_trend,last_rating,year_gap,franchise_age,rating_range,recent_trend,avg_budget,avg_revenue,profitability,target
9,6.5,0.5055250296034368,-0.086666666666667,6.4,2.0,11.0,1.9000000000000004,0.10000000000000053,5905555.555555556,101964096.22222222,96058540.66666667,6.4
10,6.49,0.48052055106935865,-0.06848484848484819,6.4,1.0,12.0,1.9000000000000004,0.0,6015000.0,101524886.6,95509886.6,6.6
11,6.5,0.45924839782963967,-0.04636363636363627,6.6,3.0,15.0,1.9000000000000004,0.1999999999999993,6740909.090909091,109153412.63636364,102412503.54545455,5.9
12,6.45,0.46992907266238954,-0.05874125874125863,5.9,2.0,17.0,1.9000000000000004,-0.6999999999999993,9012500.0,117582969.83333333,108570469.83333333,6.3
13,6.438461538461539,0.4532590726971151,-0.05109890109890104,6.3,2.0,19.0,1.9000000000000004,0.39999999999999947,10473076.923076924,123562187.6923077,113089110.76923077,6.2
14,6.421428571428572,0.4410678137503696,-0.047692307692307645,6.2,2.0,21.0,1.9000000000000004,-0.09999999999999964,11689285.714285715,128129174.28571428,116439888.57142857,5.8
15,6.38,0.45343136195018546,-0.05428571428571421,5.8,0.0,21.0,1.9000000000000004,-0.40000000000000036,13310000.0,130253896.0,116943896.0,6.0
16,6.35625,0.44856542164995294,-0.053088235294117395,6.0,2.0,23.0,1.9000000000000004,0.20000000000000018,14353125.0,131639775.0,117286650.0,6.2
17,6.347058823529412,0.4367226163122492,-0.047303921568627595,6.2,2.0,25.0,1.9000000000000004,0.20000000000000018,15861764.705882354,135142488.05882353,119280723.35294117,5.9
18,6.322222222222223,0.43659739343085563,-0.04767801857585155,5.9,2.0,27.0,1.9000000000000004,-0.2999999999999998,16758333.333333334,136310517.33333334,119552184.00000001,6.6
19,6.336842105263158,0.42945562397527054,-0.03614035087719305,6.6,6.0,33.0,1.9000000000000004,0.6999999999999993,18928947.36842105,147672807.68421054,128743860.31578949,6.0
20,6.32,0.4249705872175156,-0.035789473684210496,6.0,2.0,35.0,1.9000000000000004,-0.5999999999999996,23482500.0,156939720.7,133457220.69999999,6.0
21,6.3047619047619055,0.4202903650212615,-0.035064935064935014,6.0,2.0,37.0,1.9000000000000004,0.0,28792857.14285714,166696514.95238096,137903657.80952382,5.8
22,6.281818181818182,0.4238742991590825,-0.036476566911349484,5.8,3.0,40.0,1.9000000000000004,-0.20000000000000018,33847727.27272727,178754451.36363637,144906724.0909091,7.3
23,6.32608695652174,0.4636503473658533,-0.0208498023715415,7.3,4.0,44.0,2.0,1.5,38897826.08695652,197027995.2173913,158130169.13043478,6.1
24,6.316666666666666,0.45613107278013365,-0.02060869565217406,6.1,2.0,46.0,2.0,-1.2000000000000002,45610416.666666664,213238942.375,167628525.70833334,6.9
25,6.34,0.4613025037868319,-0.012846153846153644,6.9,4.0,50.0,2.0,0.8000000000000007,51786000.0,249051825.2,197265825.2,6.3
1,7.2,0.0,0.0,7.2,0.0,0.0,0.0,0.0,1200000.0,103911669.0,102711669.0,6.3
2,6.75,0.4500000000000002,-0.9000000000000004,6.3,1.0,1.0,0.9000000000000004,-0.9000000000000004,2600000.0,128418381.0,125818381.0,6.1
3,6.533333333333334,0.4784233364802444,-0.5500000000000004,6.1,1.0,2.0,1.1000000000000005,-0.20000000000000018,5066666.666666667,140237859.0,135171192.33333334,5.9
4,6.375,0.4968651728587948,-0.41000000000000103,5.9,1.0,3.0,1.2999999999999998,-0.1999999999999993,6300000.0,140016552.5,133716552.5,6.0
5,6.3,0.469041575982343,-0.2800000000000001,6.0,1.0,4.0,1.2999999999999998,0.09999999999999964,7200000.0,134784748.6,127584748.6,6.0
